; LGEO Elements List
;
; For use with Lars C. Hassings L3P version x.xx and up
;
; Ldraw	LGEO	LG_Flags (L=LGEO, S=Slope, A=AntonRaves)
0902	0902	L
1	0001	L
10	0010	L
100	0100	LS
101	0101	L
10197	10197	L
10201	10201	L
10202	10202	L
10247	10247	L
10288	10288	L
104	0104	L
105	0105	L
11	0011	L
11090	11090	L
112	0112	L
11203	11203	L
11208	11208	L
11211	11211	L
11212	11212	L
11213	11213	L
11215	11215	L
11272	11272	L
11291	11291	L
11458	11458	L
11476	11476	L
11477	11477	L
11610	11610	L
11833	11833	L
12	0012	L
120	0120	L
121	0121	L
122	0122	L
122c01	0122c01	L
122c02	0122c02	L
123	0123	L
128	0128	L
12939	12939	L
13	0013	L
13251	0132	L
134	0134	L
13547	13547	L
13564	13564	L
138	0138	L
14	0014	L
140	0140	L
141	0141	L
142	0142	L
143	0143	L
144	0144	L
14417	14417	L
145	0145	L
146	0146	L
14716	14716	L
14718	14718	L
14719	14719	L
14769	14769	L
14769p01	14769p01	L
14769p06	14769p06	L
148	0148	L
15	0015	L
150	0150	L
15068	15068	L
15068p05	15068p05	L
15070	15070	L
152	0152	L
15208	15208	L
15209	15209	L
15332	15332	L
15395	15395	L
15397	15397	L
15429	15429	L
15444	15444	L
15460	15460	L
15571	15571	L
15573	15573	L
157	0157	L
15712	15712	L
158	0158	L
159	0159	L
16	0016	L
161	0161	L
163	0163	L
16770	16770	L
168275	168275a	L
168295	168295a	L
174	0174	L
177	0177	L
178	0178	L
179	0179	L
18	0018	L
180	0180	LS
18041	18041	L
18646	18646	L
18649	18649	L
18654	18654	L
18674	18674	L
18677	18677	L
18973	18973	L
18976	18976	L
18977	18977	L
18980	18980	L
192425	192425a	L
192425b	192425b	L
198	0198	L
199	0199	LS
2	0002	L
20	0020	L
20482	20482	L
205	0205	L
206	0206	L
208	0208	L
209	0209	L
21	0021	L
210	0210	L
211	0211	L
21229	21229	L
217	0217	L
22	0022	L
22385	22385	L
22388	22388	L
22885	22885	L
22961	22961	L
231	0231	L
2335	2335	L
2335ps2	2335ps2	L
2336	2336	L
2336p35	2336p35	L
2336p36	2336p36	L
2336p68	2336p68	L
2336p90	2336p90	L
2337	2337	L
2339	2339	L
234	0234	LS
2340	2340	L
2341	2341	LS
2342	2342	L
2343	2343	L
23443	23443	L
2345	2345	L
2345p01	2345p01	L
2346	2346	L
2348	2348	L
2348	2348a	L
2348b	2348b	L
2349	2349	L
2349	2349a	L
2349b	2349b	L
2350	2350	L
2351	2351	L
2352	2352	L
2356	2356	L
2357	2357	L
2358	2358	L
2358p01	2358p01	L
2358p02	2358p02	L
2358p03	2358p03	L
2358p04	2358p04	L
2359	2359	L
2359p01	2359p01	L
236	0236	L
2360	2360	L
2360p01	2360p01	L
2360p02	2360p02	L
2361	2361	L
2361p01	2361p01	L
2362	2362	L
2362	2362a	L
2362ap53	2362ap53	L
2362ap54	2362ap54	L
2362b	2362b	L
2375	2375	L
2376	2376	L
2377	2377	L
238	0238	LS
239	0239	L
23950	23950	L
2397	2397	L
2399	2399	L
240	0240	LS
2401	2401	L
2408	2408	L
2408p01	2408p01	L
2408p02	2408p02	L
2408p04	2408p04	L
2408p05	2408p05	L
2409	2409	L
241	0241	L
2412	2412	L
2412	2412a	L
2412b	2412b	L
2413	2413	L
2415	2415	L
2417	2417	L
2418	2418a	L
2418b	2418b	L
2419	2419	L
241901	241901	L
2420	2420	L
24201	24201	L
2421	2421	L
2422	2422	L
2423	2423	L
24246	24246	L
2425	2425	L
2426	2426	L
2426c01	2426c01	L
2426c02	2426c02	L
2427	2427	L
2428	2428	L
2429	2429	L
24299	24299	L
2429c01	2429c01	L
2430	2430	L
24307	24307	L
24309	24309	L
2431	2431	L
243101	243101	L
2431b	2431b	L
2431bp52	2431bp52	L
2431bp79	2431bp79	L
2431p02	2431p02	L
2431p12	2431p12	L
2431p51	2431p51	L
2431p52	2431p52	L
2431p78	2431p78	L
2431p79	2431p79	L
2431pk0	2431pk0	L
2431pk1	2431pk1	L
2431pz0	2431pz0	L
2431pz1	2431pz1	L
2431pz2	2431pz2	L
2431pz3	2431pz3	L
2431pz6	2431pz6	L
2431pz7	2431pz7	L
2431pz8	2431pz8	L
2431pz	2431pza	L
2432	2432	L
2433	2433	L
2434	2434	L
2435	2435	L
2436	2436	L
2436	2436a	L
2436b	2436b	L
2437	2437	L
2440	2440	L
2440p67	2440p67	L
2440p69	2440p69	L
2441	2441	L
2443	2443	L
2444	2444	L
2445	2445	L
2446	2446	L
2446p50	2446p50	L
2446p51	2446p51	L
2447	2447	L
2448	2448	L
2449	2449	LS
2450	2450	L
2452	2452	L
2453	2453	L
2453	2453a	L
2453b	2453b	L
2454	2454	L
2455	2455	L
2456	2456	L
2458	2458	L
246	0246	L
2460	2460	L
2462	2462	L
2463	2463	L
2464	2464	L
2465	2465	L
2466	2466	L
2466p07	2466p07	L
2466p68	2466p68	L
2467	2467	L
2468	2468	L
2468p53	2468p53	L
2468p54	2468p54	L
247	0247	L
2470	2470	L
2476	2476	L
2476	2476a	L
2476b	2476b	L
2479	2479	L
248	0248	LS
2483	2483	L
2483p50	2483p50	L
2484	2484	L
2484c01	2484c01	L
2485	2485	L
2486	2486	L
24866	24866	L
2489	2489	L
2493	2493	L
2494	2494	L
2494p01	2494p01	L
2496	2496	L
2498	2498	L
25	0025	L
2500	2500	L
2500c01	2500c01	L
2507	2507	L
2508	2508	L
251	0251	L
2513	2513	L
2515	2515a	L
2515b	2515b	L
2516	2516	L
251c01	0251c01	L
252	0252	L
25214	25214	L
2524	2524	L
2526	2526	L
2527	2527	L
2529	2529	L
2530	2530	L
2533	2533	L
2534	2534	L
2535	2535	L
2539	2539	L
2540	2540	L
2542	2542	L
